Enter the purchase price of your home: $400000.00
Enter the term of the loan in years: 20
Enter your down payment percentage: 25.0

Loan amount: $300,000.00
Loan type: 20-Year Fixed, 90% or less LTV at 6.825% APR
Monthly Payment = $2294.49
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
  62         1,463.11              831.38           256,418.46            0.00
  63         1,458.38              836.11           255,582.35            0.00
  64         1,453.62              840.86           254,741.49            0.00
  65         1,448.84              845.65           253,895.84            0.00
  66         1,444.03              850.46           253,045.38            0.00
  67         1,439.20              855.29           252,190.09            0.00
  68         1,434.33              860.16           251,329.93            0.00
  69         1,429.44              865.05           250,464.89            0.00
  70         1,424.52              869.97           249,594.92            0.00
  71         1,419.57              874.92           248,720.00            0.00
  72         1,414.59              879.89           247,840.11            0.00
  73         1,409.59              884.90           246,955.21            0.00
  74         1,404.56              889.93           246,065.28            0.00
  75         1,399.50              894.99           245,170.28            0.00
  76         1,394.41              900.08           244,270.20            0.00
  77         1,389.29              905.20           243,365.00            0.00
  78         1,384.14              910.35           242,454.65            0.00
  79         1,378.96              915.53           241,539.12            0.00
  80         1,373.75              920.73           240,618.39            0.00
  81         1,368.52              925.97           239,692.42            0.00
  82         1,363.25              931.24           238,761.18            0.00
  83         1,357.95              936.53           237,824.65            0.00
  84         1,352.63              941.86           236,882.79            0.00
  85         1,347.27              947.22           235,935.57            0.00
  86         1,341.88              952.60           234,982.96            0.00
  87         1,336.47              958.02           234,024.94            0.00
  88         1,331.02              963.47           233,061.47            0.00
  89         1,325.54              968.95           232,092.52            0.00
  90         1,320.03              974.46           231,118.06            0.00
  91         1,314.48              980.00           230,138.05            0.00
  92         1,308.91              985.58           229,152.47            0.00
  93         1,303.30              991.18           228,161.29            0.00
  94         1,297.67              996.82           227,164.47            0.00
  95         1,292.00            1,002.49           226,161.98            0.00
  96         1,286.30            1,008.19           225,153.79            0.00
  97         1,280.56            1,013.93           224,139.86            0.00
  98         1,274.80            1,019.69           223,120.17            0.00
  99         1,269.00            1,025.49           222,094.67            0.00
 100         1,263.16            1,031.32           221,063.35            0.00
 101         1,257.30            1,037.19           220,026.16            0.00
 102         1,251.40            1,043.09           218,983.07            0.00
 103         1,245.47            1,049.02           217,934.05            0.00
 104         1,239.50            1,054.99           216,879.06            0.00
 105         1,233.50            1,060.99           215,818.07            0.00
 106         1,227.47            1,067.02           214,751.05            0.00
 107         1,221.40            1,073.09           213,677.95            0.00
 108         1,215.29            1,079.19           212,598.76            0.00
 109         1,209.16            1,085.33           211,513.43            0.00
 110         1,202.98            1,091.51           210,421.92            0.00
 111         1,196.77            1,097.71           209,324.21            0.00
 112         1,190.53            1,103.96           208,220.25            0.00
 113         1,184.25            1,110.24           207,110.01            0.00
 114         1,177.94            1,116.55           205,993.46            0.00
 115         1,171.59            1,122.90           204,870.56            0.00
 116         1,165.20            1,129.29           203,741.28            0.00
 117         1,158.78            1,135.71           202,605.57            0.00
 118         1,152.32            1,142.17           201,463.40            0.00
 119         1,145.82            1,148.67           200,314.73            0.00
 120         1,139.29            1,155.20           199,159.53            0.00
 121         1,132.72            1,161.77           197,997.77            0.00
 122         1,126.11            1,168.38           196,829.39            0.00
 123         1,119.47            1,175.02           195,654.37            0.00
 124         1,112.78            1,181.70           194,472.66            0.00
 125         1,106.06            1,188.43           193,284.24            0.00
 126         1,099.30            1,195.18           192,089.06            0.00
 127         1,092.51            1,201.98           190,887.07            0.00
 128         1,085.67            1,208.82           189,678.26            0.00
 129         1,078.80            1,215.69           188,462.56            0.00
 130         1,071.88            1,222.61           187,239.95            0.00
 131         1,064.93            1,229.56           186,010.39            0.00
 132         1,057.93            1,236.55           184,773.84            0.00
 133         1,050.90            1,243.59           183,530.25            0.00
 134         1,043.83            1,250.66           182,279.59            0.00
 135         1,036.72            1,257.77           181,021.82            0.00
 136         1,029.56            1,264.93           179,756.89            0.00
 137         1,022.37            1,272.12           178,484.77            0.00
 138         1,015.13            1,279.36           177,205.42            0.00
 139         1,007.86            1,286.63           175,918.78            0.00
 140         1,000.54            1,293.95           174,624.83            0.00
 141           993.18            1,301.31           173,323.52            0.00
 142           985.78            1,308.71           172,014.81            0.00
 143           978.33            1,316.15           170,698.66            0.00
 144           970.85            1,323.64           169,375.02            0.00
 145           963.32            1,331.17           168,043.85            0.00
 146           955.75            1,338.74           166,705.11            0.00
 147           948.14            1,346.35           165,358.76            0.00
 148           940.48            1,354.01           164,004.75            0.00
 149           932.78            1,361.71           162,643.04            0.00
 150           925.03            1,369.46           161,273.58            0.00
 151           917.24            1,377.24           159,896.34            0.00
 152           909.41            1,385.08           158,511.26            0.00
 153           901.53            1,392.96           157,118.30            0.00
 154           893.61            1,400.88           155,717.42            0.00
 155           885.64            1,408.85           154,308.58            0.00
 156           877.63            1,416.86           152,891.72            0.00
 157           869.57            1,424.92           151,466.80            0.00
 158           861.47            1,433.02           150,033.78            0.00
 159           853.32            1,441.17           148,592.61            0.00
 160           845.12            1,449.37           147,143.24            0.00
 161           836.88            1,457.61           145,685.63            0.00
 162           828.59            1,465.90           144,219.73            0.00
 163           820.25            1,474.24           142,745.49            0.00
 164           811.86            1,482.62           141,262.87            0.00
 165           803.43            1,491.06           139,771.81            0.00
 166           794.95            1,499.54           138,272.28            0.00
 167           786.42            1,508.06           136,764.21            0.00
 168           777.85            1,516.64           135,247.57            0.00
 169           769.22            1,525.27           133,722.30            0.00
 170           760.55            1,533.94           132,188.36            0.00
 171           751.82            1,542.67           130,645.69            0.00
 172           743.05            1,551.44           129,094.25            0.00
 173           734.22            1,560.26           127,533.99            0.00
 174           725.35            1,569.14           125,964.85            0.00
 175           716.43            1,578.06           124,386.78            0.00
 176           707.45            1,587.04           122,799.75            0.00
 177           698.42            1,596.06           121,203.68            0.00
 178           689.35            1,605.14           119,598.54            0.00
 179           680.22            1,614.27           117,984.27            0.00
 180           671.04            1,623.45           116,360.81            0.00
 181           661.80            1,632.69           114,728.13            0.00
 182           652.52            1,641.97           113,086.16            0.00
 183           643.18            1,651.31           111,434.85            0.00
 184           633.79            1,660.70           109,774.14            0.00
 185           624.34            1,670.15           108,104.00            0.00
 186           614.84            1,679.65           106,424.35            0.00
 187           605.29            1,689.20           104,735.15            0.00
 188           595.68            1,698.81           103,036.34            0.00
 189           586.02            1,708.47           101,327.87            0.00
 190           576.30            1,718.19            99,609.69            0.00
 191           566.53            1,727.96            97,881.73            0.00
 192           556.70            1,737.79            96,143.94            0.00
 193           546.82            1,747.67            94,396.27            0.00
 194           536.88            1,757.61            92,638.66            0.00
 195           526.88            1,767.61            90,871.06            0.00
 196           516.83            1,777.66            89,093.40            0.00
 197           506.72            1,787.77            87,305.63            0.00
 198           496.55            1,797.94            85,507.69            0.00
 199           486.32            1,808.16            83,699.53            0.00
 200           476.04            1,818.45            81,881.08            0.00
 201           465.70            1,828.79            80,052.29            0.00
 202           455.30            1,839.19            78,213.10            0.00
 203           444.84            1,849.65            76,363.45            0.00
 204           434.32            1,860.17            74,503.28            0.00
 205           423.74            1,870.75            72,632.53            0.00
 206           413.10            1,881.39            70,751.13            0.00
 207           402.40            1,892.09            68,859.04            0.00
 208           391.64            1,902.85            66,956.19            0.00
 209           380.81            1,913.68            65,042.52            0.00
 210           369.93            1,924.56            63,117.96            0.00
 211           358.98            1,935.50            61,182.45            0.00
 212           347.98            1,946.51            59,235.94            0.00
 213           336.90            1,957.58            57,278.35            0.00
 214           325.77            1,968.72            55,309.64            0.00
 215           314.57            1,979.91            53,329.72            0.00
 216           303.31            1,991.18            51,338.55            0.00
 217           291.99            2,002.50            49,336.05            0.00
 218           280.60            2,013.89            47,322.16            0.00
 219           269.14            2,025.34            45,296.81            0.00
 220           257.63            2,036.86            43,259.95            0.00
 221           246.04            2,048.45            41,211.50            0.00
 222           234.39            2,060.10            39,151.40            0.00
 223           222.67            2,071.81            37,079.59            0.00
 224           210.89            2,083.60            34,995.99            0.00
 225           199.04            2,095.45            32,900.54            0.00
 226           187.12            2,107.37            30,793.18            0.00
 227           175.14            2,119.35            28,673.82            0.00
 228           163.08            2,131.41            26,542.42            0.00
 229           150.96            2,143.53            24,398.89            0.00
 230           138.77            2,155.72            22,243.17            0.00
 231           126.51            2,167.98            20,075.19            0.00
 232           114.18            2,180.31            17,894.88            0.00
 233           101.78            2,192.71            15,702.17            0.00
 234            89.31            2,205.18            13,496.99            0.00
 235            76.76            2,217.72            11,279.26            0.00
 236            64.15            2,230.34             9,048.92            0.00
 237            51.47            2,243.02             6,805.90            0.00
 238            38.71            2,255.78             4,550.12            0.00
 239            25.88            2,268.61             2,281.51            0.00
 240            12.98            2,281.51                 0.00            0.00
==============================================================================

Mortgage Summary
Total interest paid: $                                              250,677.20
Total payment to principal: $                                       300,000.00
Total PMI paid: $                                                         0.00
Total payments: $                                                   550,677.20
