Enter purchase price of home in USD: Enter loan term in years: Invalid term length. Must be 10, 15, 20, or 30 years.
Enter loan term in years: Enter down payment percentage: Invalid down payment percentage.               Please input a valid percentage
Enter down payment percentage: 
Loan amount: $179,910.00
Loan type: 30-Year Fixed, 90% or less LTV at 7.000% APR
Monthly Payment = $1196.95
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
  61           987.89              209.06           169,143.09          101.20
  62           986.67              210.28           168,932.81          101.20
  63           985.44              211.50           168,721.30          101.20
  64           984.21              212.74           168,508.56          101.20
  65           982.97              213.98           168,294.59          101.20
  66           981.72              215.23           168,079.36          101.20
  67           980.46              216.48           167,862.88          101.20
  68           979.20              217.75           167,645.13          101.20
  69           977.93              219.02           167,426.11          101.20
  70           976.65              220.29           167,205.82          101.20
  71           975.37              221.58           166,984.24          101.20
  72           974.07              222.87           166,761.37          101.20
  73           972.77              224.17           166,537.20          101.20
  74           971.47              225.48           166,311.72          101.20
  75           970.15              226.79           166,084.93          101.20
  76           968.83              228.12           165,856.81          101.20
  77           967.50              229.45           165,627.36          101.20
  78           966.16              230.79           165,396.58          101.20
  79           964.81              232.13           165,164.44          101.20
  80           963.46              233.49           164,930.96          101.20
  81           962.10              234.85           164,696.11          101.20
  82           960.73              236.22           164,459.89          101.20
  83           959.35              237.60           164,222.29          101.20
  84           957.96              238.98           163,983.31          101.20
  85           956.57              240.38           163,742.94          101.20
  86           955.17              241.78           163,501.16          101.20
  87           953.76              243.19           163,257.97          101.20
  88           952.34              244.61           163,013.36          101.20
  89           950.91              246.03           162,767.33          101.20
  90           949.48              247.47           162,519.86          101.20
  91           948.03              248.91           162,270.94          101.20
  92           946.58              250.37           162,020.58          101.20
  93           945.12              251.83           161,768.75          101.20
  94           943.65              253.29           161,515.46          101.20
  95           942.17              254.77           161,260.69          101.20
  96           940.69              256.26           161,004.43          101.20
  97           939.19              257.75           160,746.67          101.20
  98           937.69              259.26           160,487.42          101.20
  99           936.18              260.77           160,226.65          101.20
 100           934.66              262.29           159,964.36          101.20
 101           933.13              263.82           159,700.54          101.20
 102           931.59              265.36           159,435.18            0.00
 103           930.04              266.91           159,168.27            0.00
 104           928.48              268.46           158,899.81            0.00
 105           926.92              270.03           158,629.78            0.00
 106           925.34              271.61           158,358.17            0.00
 107           923.76              273.19           158,084.98            0.00
 108           922.16              274.78           157,810.20            0.00
 109           920.56              276.39           157,533.81            0.00
 110           918.95              278.00           157,255.81            0.00
 111           917.33              279.62           156,976.19            0.00
 112           915.69              281.25           156,694.94            0.00
 113           914.05              282.89           156,412.05            0.00
 114           912.40              284.54           156,127.51            0.00
 115           910.74              286.20           155,841.31            0.00
 116           909.07              287.87           155,553.44            0.00
 117           907.40              289.55           155,263.88            0.00
 118           905.71              291.24           154,972.65            0.00
 119           904.01              292.94           154,679.71            0.00
 120           902.30              294.65           154,385.06            0.00
 121           900.58              296.37           154,088.69            0.00
 122           898.85              298.10           153,790.60            0.00
 123           897.11              299.83           153,490.76            0.00
 124           895.36              301.58           153,189.18            0.00
 125           893.60              303.34           152,885.84            0.00
 126           891.83              305.11           152,580.73            0.00
 127           890.05              306.89           152,273.84            0.00
 128           888.26              308.68           151,965.15            0.00
 129           886.46              310.48           151,654.67            0.00
 130           884.65              312.29           151,342.38            0.00
 131           882.83              314.12           151,028.26            0.00
 132           881.00              315.95           150,712.32            0.00
 133           879.16              317.79           150,394.52            0.00
 134           877.30              319.64           150,074.88            0.00
 135           875.44              321.51           149,753.37            0.00
 136           873.56              323.38           149,429.99            0.00
 137           871.67              325.27           149,104.72            0.00
 138           869.78              327.17           148,777.55            0.00
 139           867.87              329.08           148,448.47            0.00
 140           865.95              331.00           148,117.48            0.00
 141           864.02              332.93           147,784.55            0.00
 142           862.08              334.87           147,449.68            0.00
 143           860.12              336.82           147,112.86            0.00
 144           858.16              338.79           146,774.07            0.00
 145           856.18              340.76           146,433.31            0.00
 146           854.19              342.75           146,090.55            0.00
 147           852.19              344.75           145,745.80            0.00
 148           850.18              346.76           145,399.04            0.00
 149           848.16              348.78           145,050.26            0.00
 150           846.13              350.82           144,699.44            0.00
 151           844.08              352.87           144,346.57            0.00
 152           842.02              354.92           143,991.65            0.00
 153           839.95              356.99           143,634.65            0.00
 154           837.87              359.08           143,275.58            0.00
 155           835.77              361.17           142,914.40            0.00
 156           833.67              363.28           142,551.13            0.00
 157           831.55              365.40           142,185.73            0.00
 158           829.42              367.53           141,818.20            0.00
 159           827.27              369.67           141,448.53            0.00
 160           825.12              371.83           141,076.70            0.00
 161           822.95              374.00           140,702.70            0.00
 162           820.77              376.18           140,326.52            0.00
 163           818.57              378.37           139,948.15            0.00
 164           816.36              380.58           139,567.56            0.00
 165           814.14              382.80           139,184.76            0.00
 166           811.91              385.03           138,799.73            0.00
 167           809.67              387.28           138,412.45            0.00
 168           807.41              389.54           138,022.91            0.00
 169           805.13              391.81           137,631.09            0.00
 170           802.85              394.10           137,237.00            0.00
 171           800.55              396.40           136,840.60            0.00
 172           798.24              398.71           136,441.89            0.00
 173           795.91              401.03           136,040.86            0.00
 174           793.57              403.37           135,637.48            0.00
 175           791.22              405.73           135,231.76            0.00
 176           788.85              408.09           134,823.66            0.00
 177           786.47              410.47           134,413.19            0.00
 178           784.08              412.87           134,000.32            0.00
 179           781.67              415.28           133,585.04            0.00
 180           779.25              417.70           133,167.34            0.00
 181           776.81              420.14           132,747.21            0.00
 182           774.36              422.59           132,324.62            0.00
 183           771.89              425.05           131,899.57            0.00
 184           769.41              427.53           131,472.04            0.00
 185           766.92              430.03           131,042.01            0.00
 186           764.41              432.53           130,609.48            0.00
 187           761.89              435.06           130,174.42            0.00
 188           759.35              437.59           129,736.82            0.00
 189           756.80              440.15           129,296.68            0.00
 190           754.23              442.72           128,853.96            0.00
 191           751.65              445.30           128,408.66            0.00
 192           749.05              447.90           127,960.77            0.00
 193           746.44              450.51           127,510.26            0.00
 194           743.81              453.14           127,057.12            0.00
 195           741.17              455.78           126,601.35            0.00
 196           738.51              458.44           126,142.91            0.00
 197           735.83              461.11           125,681.80            0.00
 198           733.14              463.80           125,217.99            0.00
 199           730.44              466.51           124,751.49            0.00
 200           727.72              469.23           124,282.26            0.00
 201           724.98              471.97           123,810.29            0.00
 202           722.23              474.72           123,335.57            0.00
 203           719.46              477.49           122,858.08            0.00
 204           716.67              480.27           122,377.81            0.00
 205           713.87              483.08           121,894.74            0.00
 206           711.05              485.89           121,408.84            0.00
 207           708.22              488.73           120,920.11            0.00
 208           705.37              491.58           120,428.54            0.00
 209           702.50              494.45           119,934.09            0.00
 210           699.62              497.33           119,436.76            0.00
 211           696.71              500.23           118,936.53            0.00
 212           693.80              503.15           118,433.38            0.00
 213           690.86              506.08           117,927.30            0.00
 214           687.91              509.04           117,418.26            0.00
 215           684.94              512.01           116,906.25            0.00
 216           681.95              514.99           116,391.26            0.00
 217           678.95              518.00           115,873.26            0.00
 218           675.93              521.02           115,352.25            0.00
 219           672.89              524.06           114,828.19            0.00
 220           669.83              527.11           114,301.07            0.00
 221           666.76              530.19           113,770.88            0.00
 222           663.66              533.28           113,237.60            0.00
 223           660.55              536.39           112,701.21            0.00
 224           657.42              539.52           112,161.69            0.00
 225           654.28              542.67           111,619.02            0.00
 226           651.11              545.83           111,073.18            0.00
 227           647.93              549.02           110,524.16            0.00
 228           644.72              552.22           109,971.94            0.00
 229           641.50              555.44           109,416.50            0.00
 230           638.26              558.68           108,857.82            0.00
 231           635.00              561.94           108,295.87            0.00
 232           631.73              565.22           107,730.66            0.00
 233           628.43              568.52           107,162.14            0.00
 234           625.11              571.83           106,590.30            0.00
 235           621.78              575.17           106,015.14            0.00
 236           618.42              578.52           105,436.61            0.00
 237           615.05              581.90           104,854.71            0.00
 238           611.65              585.29           104,269.42            0.00
 239           608.24              588.71           103,680.71            0.00
 240           604.80              592.14           103,088.57            0.00
 241           601.35              595.60           102,492.98            0.00
 242           597.88              599.07           101,893.91            0.00
 243           594.38              602.56           101,291.34            0.00
 244           590.87              606.08           100,685.26            0.00
 245           587.33              609.62           100,075.65            0.00
 246           583.77              613.17            99,462.47            0.00
 247           580.20              616.75            98,845.73            0.00
 248           576.60              620.35            98,225.38            0.00
 249           572.98              623.96            97,601.42            0.00
 250           569.34              627.60            96,973.81            0.00
 251           565.68              631.27            96,342.55            0.00
 252           562.00              634.95            95,707.60            0.00
 253           558.29              638.65            95,068.95            0.00
 254           554.57              642.38            94,426.57            0.00
 255           550.82              646.12            93,780.45            0.00
 256           547.05              649.89            93,130.55            0.00
 257           543.26              653.68            92,476.87            0.00
 258           539.45              657.50            91,819.37            0.00
 259           535.61              661.33            91,158.04            0.00
 260           531.76              665.19            90,492.85            0.00
 261           527.87              669.07            89,823.78            0.00
 262           523.97              672.97            89,150.81            0.00
 263           520.05              676.90            88,473.91            0.00
 264           516.10              680.85            87,793.06            0.00
 265           512.13              684.82            87,108.24            0.00
 266           508.13              688.81            86,419.42            0.00
 267           504.11              692.83            85,726.59            0.00
 268           500.07              696.87            85,029.72            0.00
 269           496.01              700.94            84,328.78            0.00
 270           491.92              705.03            83,623.75            0.00
 271           487.81              709.14            82,914.61            0.00
 272           483.67              713.28            82,201.33            0.00
 273           479.51              717.44            81,483.90            0.00
 274           475.32              721.62            80,762.27            0.00
 275           471.11              725.83            80,036.44            0.00
 276           466.88              730.07            79,306.37            0.00
 277           462.62              734.33            78,572.05            0.00
 278           458.34              738.61            77,833.44            0.00
 279           454.03              742.92            77,090.52            0.00
 280           449.69              747.25            76,343.27            0.00
 281           445.34              751.61            75,591.66            0.00
 282           440.95              755.99            74,835.67            0.00
 283           436.54              760.40            74,075.26            0.00
 284           432.11              764.84            73,310.42            0.00
 285           427.64              769.30            72,541.12            0.00
 286           423.16              773.79            71,767.33            0.00
 287           418.64              778.30            70,989.03            0.00
 288           414.10              782.84            70,206.19            0.00
 289           409.54              787.41            69,418.78            0.00
 290           404.94              792.00            68,626.77            0.00
 291           400.32              796.62            67,830.15            0.00
 292           395.68              801.27            67,028.88            0.00
 293           391.00              805.94            66,222.94            0.00
 294           386.30              810.65            65,412.29            0.00
 295           381.57              815.37            64,596.92            0.00
 296           376.82              820.13            63,776.79            0.00
 297           372.03              824.91            62,951.87            0.00
 298           367.22              829.73            62,122.15            0.00
 299           362.38              834.57            61,287.58            0.00
 300           357.51              839.43            60,448.14            0.00
 301           352.61              844.33            59,603.81            0.00
 302           347.69              849.26            58,754.56            0.00
 303           342.73              854.21            57,900.35            0.00
 304           337.75              859.19            57,041.15            0.00
 305           332.74              864.21            56,176.95            0.00
 306           327.70              869.25            55,307.70            0.00
 307           322.63              874.32            54,433.38            0.00
 308           317.53              879.42            53,553.96            0.00
 309           312.40              884.55            52,669.42            0.00
 310           307.24              889.71            51,779.71            0.00
 311           302.05              894.90            50,884.81            0.00
 312           296.83              900.12            49,984.69            0.00
 313           291.58              905.37            49,079.33            0.00
 314           286.30              910.65            48,168.68            0.00
 315           280.98              915.96            47,252.71            0.00
 316           275.64              921.30            46,331.41            0.00
 317           270.27              926.68            45,404.73            0.00
 318           264.86              932.08            44,472.65            0.00
 319           259.42              937.52            43,535.12            0.00
 320           253.95              942.99            42,592.13            0.00
 321           248.45              948.49            41,643.64            0.00
 322           242.92              954.02            40,689.62            0.00
 323           237.36              959.59            39,730.03            0.00
 324           231.76              965.19            38,764.84            0.00
 325           226.13              970.82            37,794.02            0.00
 326           220.47              976.48            36,817.54            0.00
 327           214.77              982.18            35,835.37            0.00
 328           209.04              987.91            34,847.46            0.00
 329           203.28              993.67            33,853.79            0.00
 330           197.48              999.47            32,854.32            0.00
 331           191.65            1,005.30            31,849.03            0.00
 332           185.79            1,011.16            30,837.87            0.00
 333           179.89            1,017.06            29,820.81            0.00
 334           173.95            1,022.99            28,797.82            0.00
 335           167.99            1,028.96            27,768.86            0.00
 336           161.99            1,034.96            26,733.90            0.00
 337           155.95            1,041.00            25,692.90            0.00
 338           149.88            1,047.07            24,645.83            0.00
 339           143.77            1,053.18            23,592.65            0.00
 340           137.62            1,059.32            22,533.33            0.00
 341           131.44            1,065.50            21,467.83            0.00
 342           125.23            1,071.72            20,396.11            0.00
 343           118.98            1,077.97            19,318.15            0.00
 344           112.69            1,084.26            18,233.89            0.00
 345           106.36            1,090.58            17,143.31            0.00
 346           100.00            1,096.94            16,046.37            0.00
 347            93.60            1,103.34            14,943.02            0.00
 348            87.17            1,109.78            13,833.25            0.00
 349            80.69            1,116.25            12,716.99            0.00
 350            74.18            1,122.76            11,594.23            0.00
 351            67.63            1,129.31            10,464.92            0.00
 352            61.05            1,135.90             9,329.02            0.00
 353            54.42            1,142.53             8,186.49            0.00
 354            47.75            1,149.19             7,037.30            0.00
 355            41.05            1,155.89             5,881.40            0.00
 356            34.31            1,162.64             4,718.77            0.00
 357            27.53            1,169.42             3,549.35            0.00
 358            20.70            1,176.24             2,373.11            0.00
 359            13.84            1,183.10             1,190.00            0.00
 360             6.94            1,190.00                 0.00            0.00
==============================================================================

Mortgage Summary
Total interest paid: $                                              250,990.46
Total payment to principal: $                                       179,910.00
Total PMI paid: $                                                    10,221.14
Total payments: $                                                   441,121.60
