Enter purchase price of home in USD: Enter loan term in years: Enter down payment percentage: 
Loan amount: $150,000.00
Loan type: 15-Year Fixed, 90.1-100% LTV at 6.775% APR
Monthly Payment = $1329.44
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
  69           621.79              707.66           109,424.17            0.00
  70           617.79              711.65           108,712.52            0.00
  71           613.77              715.67           107,996.85            0.00
  72           609.73              719.71           107,277.14            0.00
  73           605.67              723.78           106,553.36            0.00
  74           601.58              727.86           105,825.50            0.00
  75           597.47              731.97           105,093.53            0.00
  76           593.34              736.10           104,357.42            0.00
  77           589.18              740.26           103,617.16            0.00
  78           585.01              744.44           102,872.73            0.00
  79           580.80              748.64           102,124.08            0.00
  80           576.58              752.87           101,371.21            0.00
  81           572.32              757.12           100,614.10            0.00
  82           568.05              761.39            99,852.70            0.00
  83           563.75              765.69            99,087.01            0.00
  84           559.43              770.02            98,316.99            0.00
  85           555.08              774.36            97,542.63            0.00
  86           550.71              778.73            96,763.90            0.00
  87           546.31              783.13            95,980.77            0.00
  88           541.89              787.55            95,193.21            0.00
  89           537.45              792.00            94,401.21            0.00
  90           532.97              796.47            93,604.74            0.00
  91           528.48              800.97            92,803.78            0.00
  92           523.95              805.49            91,998.29            0.00
  93           519.41              810.04            91,188.25            0.00
  94           514.83              814.61            90,373.64            0.00
  95           510.23              819.21            89,554.43            0.00
  96           505.61              823.83            88,730.59            0.00
  97           500.96              828.49            87,902.11            0.00
  98           496.28              833.16            87,068.94            0.00
  99           491.58              837.87            86,231.08            0.00
 100           486.85              842.60            85,388.48            0.00
 101           482.09              847.36            84,541.12            0.00
 102           477.31              852.14            83,688.98            0.00
 103           472.49              856.95            82,832.03            0.00
 104           467.66              861.79            81,970.25            0.00
 105           462.79              866.65            81,103.59            0.00
 106           457.90              871.55            80,232.05            0.00
 107           452.98              876.47            79,355.58            0.00
 108           448.03              881.42            78,474.16            0.00
 109           443.05              886.39            77,587.77            0.00
 110           438.05              891.40            76,696.37            0.00
 111           433.01              896.43            75,799.94            0.00
 112           427.95              901.49            74,898.45            0.00
 113           422.86              906.58            73,991.87            0.00
 114           417.75              911.70            73,080.18            0.00
 115           412.60              916.85            72,163.33            0.00
 116           407.42              922.02            71,241.31            0.00
 117           402.22              927.23            70,314.08            0.00
 118           396.98              932.46            69,381.62            0.00
 119           391.72              937.73            68,443.89            0.00
 120           386.42              943.02            67,500.87            0.00
 121           381.10              948.35            66,552.52            0.00
 122           375.74              953.70            65,598.82            0.00
 123           370.36              959.08            64,639.74            0.00
 124           364.95              964.50            63,675.24            0.00
 125           359.50              969.94            62,705.30            0.00
 126           354.02              975.42            61,729.88            0.00
 127           348.52              980.93            60,748.95            0.00
 128           342.98              986.47            59,762.48            0.00
 129           337.41              992.04            58,770.45            0.00
 130           331.81              997.64            57,772.81            0.00
 131           326.18            1,003.27            56,769.54            0.00
 132           320.51            1,008.93            55,760.61            0.00
 133           314.82            1,014.63            54,745.98            0.00
 134           309.09            1,020.36            53,725.62            0.00
 135           303.33            1,026.12            52,699.51            0.00
 136           297.53            1,031.91            51,667.59            0.00
 137           291.71            1,037.74            50,629.86            0.00
 138           285.85            1,043.60            49,586.26            0.00
 139           279.96            1,049.49            48,536.77            0.00
 140           274.03            1,055.41            47,481.36            0.00
 141           268.07            1,061.37            46,419.99            0.00
 142           262.08            1,067.36            45,352.62            0.00
 143           256.05            1,073.39            44,279.23            0.00
 144           249.99            1,079.45            43,199.78            0.00
 145           243.90            1,085.55            42,114.23            0.00
 146           237.77            1,091.67            41,022.56            0.00
 147           231.61            1,097.84            39,924.72            0.00
 148           225.41            1,104.04            38,820.69            0.00
 149           219.18            1,110.27            37,710.42            0.00
 150           212.91            1,116.54            36,593.88            0.00
 151           206.60            1,122.84            35,471.04            0.00
 152           200.26            1,129.18            34,341.86            0.00
 153           193.89            1,135.56            33,206.30            0.00
 154           187.48            1,141.97            32,064.34            0.00
 155           181.03            1,148.41            30,915.92            0.00
 156           174.55            1,154.90            29,761.02            0.00
 157           168.03            1,161.42            28,599.60            0.00
 158           161.47            1,167.98            27,431.63            0.00
 159           154.87            1,174.57            26,257.06            0.00
 160           148.24            1,181.20            25,075.86            0.00
 161           141.57            1,187.87            23,887.99            0.00
 162           134.87            1,194.58            22,693.41            0.00
 163           128.12            1,201.32            21,492.09            0.00
 164           121.34            1,208.10            20,283.99            0.00
 165           114.52            1,214.92            19,069.06            0.00
 166           107.66            1,221.78            17,847.28            0.00
 167           100.76            1,228.68            16,618.60            0.00
 168            93.83            1,235.62            15,382.98            0.00
 169            86.85            1,242.59            14,140.39            0.00
 170            79.83            1,249.61            12,890.78            0.00
 171            72.78            1,256.66            11,634.11            0.00
 172            65.68            1,263.76            10,370.35            0.00
 173            58.55            1,270.89             9,099.46            0.00
 174            51.37            1,278.07             7,821.39            0.00
 175            44.16            1,285.29             6,536.10            0.00
 176            36.90            1,292.54             5,243.56            0.00
 177            29.60            1,299.84             3,943.72            0.00
 178            22.27            1,307.18             2,636.54            0.00
 179            14.89            1,314.56             1,321.98            0.00
 180             7.46            1,321.98                 0.00            0.00
==============================================================================

Mortgage Summary
Total interest paid: $                                               89,299.95
Total payment to principal: $                                       150,000.00
Total PMI paid: $                                                     6,952.50
Total payments: $                                                   246,252.45
